pd_index,respuesta
0,"Aumentar el sueldo no es posible que gente de aseo gane más que nosotros, mejorar la infraestructura da vergüenza entregarle a pacientes cosas que no funcionan o bien en mal dotado. Baños en parto."
1,Subir los sueldos
2,Aumentar los sueldos
3,Sueldos dignos
4,Aumentar los sueldos
5,Preocuparse más por los empleados y tener sueldos acordes con el mercado. Además carrera funcionaria. No respetan antigüedad
6,Sin comentarios!!
7,"No sobrecargar a las secretarias con tener la obligación de capacitar a personal nuevo, mientras el piso está lleno de pacientes, el sueldo es muy bajo, y constantemente a uno lo rotan de su puesto."
8,Mejores sueldos
9,"Para mejorar principalmente   que la jefatura sea humana,  y no solo nos vea como un número."
10,Los sueldos
11,Mejorar los sueldos
12,"Ir a los servicios y ver in situ cómo se desarrolla cada actividad, quizás se dieran cuenta que no es lo mismo sacar cuentas con una calculadora, o con ideas ""creativas"" en un papel...trabajamos con personas y eso conlleva empatía y adaptación, no somos sólo una ""empresa"" con diferentes secciones, se debe trabajar como un reloj, cada engranaje cuenta, si no el reloj no avanza..."
13,"Creo que reconocer el trabajo realizado tanto en estímulos tangibles como así también en generar una escala de sueldos , que permita a través de capacitaciones , optar por un sueldo más acorde a la realidad actual.Toda vez que los bonos noche y locomoción son muy  bajos."
14,"Contratar más secretarias, no sobreexplotarlas con trabajo, muchos medicos por piso con 2 secretarias, es imposible"
15,"Subir mi sueldo, tener espacio para nuestro descanso legal de turnos de 12hrs, mejorar la comida y la experiencia en el casino."
16,Incentivar a la gente que hace su trabajo bien
17,"mejora de sueldos, buenos tratos y beneficios"
18,Leer lo escrito en la respuesta anterior.
19,"Mejorar el sueldo, lo ideal sería que fuera similar a lo ofrecido por otras clínicas; ya que muchos de los trabajadores contamos con estudios de nivel superior, y por lo mismo nuestras respectivas de renta son mayores. -"
20,"Aumentar el sueldo y mejorar algunos servicios, sobre todo a las personas"
21,Evaluación en 360 grados para todo el personal
22,Subir el sueldo
