;typeform_id;id;¿Qué podríamos hacer para mejorar la experiencia de trabajar en redcross?
0;000e61947c7d899a;2ytjsswhh7r9d2ytjs9dhd4bntf7nsfj;Aumentar el sueldo no es posible que gente de aseo gane más que nosotros, mejorar la infraestructura da vergüenza entregarle a pacientes cosas que no funcionan o bien en mal dotado. Baños en parto.
1;001c5792237f9f27;ngcnnzupdv7c9cxengcu7ofycwmbi64v;Subir los sueldos
2;00ba03f2fa2a9b56;fapv6xedtnz12x39lf0dfapv6xezgqcg;Aumentar los sueldos
3;00ea877ebe6d3d30;isej6w37jduq6lfihnx3jisej6wv9m5q;Sueldos dignos
4;06a945f05480c397;vmcyhjywjiy79ve0vqmy5nvmcyhjywq7;Aumentar los sueldos
5;0d064f6b16fa5f46;gkolsniopbi7gyfzlulhxgkol2exwx1m;Preocuparse más por los empleados y tener sueldos acordes con el mercado. Además carrera funcionaria. No respetan antigüedad
6;0df29f6a1a2c2109;9v4irrofn1ukj19v4rp81cbx2vehbb7r;Sin comentarios!!
7;18f3a4c74b957726;ojclkgmz75ah3l3htj2ojclywu7dqt15;No sobrecargar a las secretarias con tener la obligación de capacitar a personal nuevo, mientras el piso está lleno de pacientes, el sueldo es muy bajo, y constantemente a uno lo rotan de su puesto.
8;1664a38ebb0e34c6;3xjyxpbdsnw0k2jn23xjyxh39babl2re;Mejores sueldos
9;1bd5455e7fbbfeb9;rx0obp03ipao9r95xrx0o71cc4j5g5jp;Para mejorar principalmente   que la jefatura sea humana,  y no solo nos vea como un número.
10;04e105078153a0fa;ygzxgos309j595qgk6ygzxgjc7bzhn86;Los sueldos
11;1c0722c18d8098b5;twnbgmu6uvgs39cdxzmq6ykefatwnbgm;Mejorar los sueldos
12;1cd8522638b93afb;1r56icxgpg1j3bd8amhdus1kr07w1jj3;"Ir a los servicios y ver in situ cómo se desarrolla cada actividad, quizás se dieran cuenta que no es lo mismo sacar cuentas con una calculadora, o con ideas ""creativas"" en un papel...trabajamos con personas y eso conlleva empatía y adaptación, no somos sólo una ""empresa"" con diferentes secciones, se debe trabajar como un reloj, cada engranaje cuenta, si no el reloj no avanza..."
13;1c8e0ff4f687c6c4;tgk69ihbh36npetpa822tgk69ip0cevm;Creo que reconocer el trabajo realizado tanto en estímulos tangibles como así también en generar una escala de sueldos , que permita a través de capacitaciones , optar por un sueldo más acorde a la realidad actual.Toda vez que los bonos noche y locomoción son muy  bajos.
14;1dd25b3e380a95c3;a744dvo0ddnyxe8hxcua744dvo0pdjns;Contratar más secretarias, no sobreexplotarlas con trabajo, muchos medicos por piso con 2 secretarias, es imposible
15;2b1c9f06ec74d7b9;7lukbnd74a3fn61yy7lu7ew3xombgbdf;Subir mi sueldo, tener espacio para nuestro descanso legal de turnos de 12hrs, mejorar la comida y la experiencia en el casino.
16;224bf95fc7f1749a;sne96a41zlxa4gj29tsney985kfnspdw;Incentivar a la gente que hace su trabajo bien
17;32b39738490e75c8;lstsc7xulqedwxlpp1xqlstsc751b3c0;mejora de sueldos, buenos tratos y beneficios
18;440099d742389597;7nb8qwgnukxxp1efu8t7nb814xp5a2uf;Leer lo escrito en la respuesta anterior.
19;0847ccd0d7c10464;c2lccy0d34k2vj1rc2lceoprccdnk1kb;"Mejorar el sueldo, lo ideal sería que fuera similar a lo ofrecido por otras clínicas; ya que muchos de los trabajadores contamos con estudios de nivel superior, y por lo mismo nuestras respectivas de renta son mayores. -"
20;2fe98dde367f508b;w2g0ocg7773labcsnhkdf5w2g0o9oyqu;Aumentar el sueldo y mejorar algunos servicios, sobre todo a las personas
21;4c30dc805892fd30;8tasyo7la62xxi5hvjqz9q8tasyo7lg6;Evaluación en 360 grados para todo el personal
22;5044ef109c8b5e4f;0corgyrgzaesk0m40cogjznwclr4vs0z;Subir el sueldo
23;09e567e7c79149d7;tcvsyesakdo1qj3zrvndtcvsye1v7gaj;Escuchar a los trabajadores, entregar sueldos de acuerdo al mercado, servicio de trabajo y complejidad del mismo. Mejorar el servicio de alimentación, es impresionante la cantidad de comida que termina en la basura a diario porque realmente la presentación y el sabor deja mucho que desear... es triste. Por lo mismo, gastamos importantes sumas de dinero en comida, ya que muchos tenemos requerimientos de salud especiales. Por último, valorar el trabajo realizado en pandemia como ocurrió en el sistema público con días de vacaciones extra (sin mencionar que los servicios críticos en hospitales ya tienen de por sí más días de vacaciones de base que nosotros).
24;5236aa422b092a4d;c1usrwf9o1e3spagf1c1usrw8xit9t99;"Mejorar los sistemas definitivamente(administrativamente); ya que sin ellos la atención hacia el paciente es deficiente."
25;55933d0e73db16cd;nhrpnxdb28v5v82zxhbynhrpnxd5x1gw;Mejorar los sueldos, son bajos, no demuestran que de verdad les interese el bienesatr de los trabajadores.
26;0b37e6e65eab23e6;1ven4g9zxikr0kv61mt661ven41co4bd;"Mejorar el número de personal que trabaja en el círculo del paciente 
Valorar el trabajo de los funcionarios de salud que realizamos , Y ser reconocidos una clínica de excelencia por la atención profesional que se entrega y el manejo de los pacientes y sus enfermedades , más que por lo material de la clínica 
Mejorar la infraestructura, aún se realizan soluciones provisorias 
Tener una mejor sala de estar , merecemos tener un lugar dentro de nuestro horario de colación presentable 
Tener mayor cercanía desde jefaturas de coordinadora con personal para informar problemáticas del trabajo y realmente solucionarlas
Mejorar áreas y espacios de trabajo , en ocasiones no hay lugar donde estar"
27;5e0e4d47eae4d5a4;m4zn4ykyf0b4rf7umxcb3jm4zn4yky19;Mejorar los sueldos y las dependencias
28;0bb4cab18e76a046;m7jnt7soc9yr1tgifo3pxm7jnt9ny2wa;Entregar bono de incentivos y mayor capacitación
29;7837cf93b028d408;t1u4ud69gmz0vgrdhpt1u4d1ndci3rnf;Preocuparse del personal
30;5e0878998f8f2c98;gfaceg23yknwo58lmgfac8fn5culvrcf;Nivelar la renta, y incentivos económicos por el logro de objetivos. sobre todo cuando son de alto impacto para la organización.
31;7930b8d6d402489a;aqzghn2buym30loaqzv2jeqd51eucdmn;Desde 2008 solo me han subido el IPC, vengo de clinica Francesa, no fue justo que compraran la empresa y nos mantengan con el mismo sueldo. Fui hablar en octubre de 2021 por un aumento de sueldo, finalmente no se logro, solo modificaron unos bonos mantiendo el mismo sueldo y por este motivo me siento acongojada y con ganas de irme.
32;841a71b73be0e68d;k5lex0ttn3zf9tfbhm09z1pk5lexobux;Nosé
33;84b20f9be145b32a;o2np71q91aw2o2np1ahorsx7v7vieo1a;Mejorar filtro de selección del personal
34;5fce8ffbf992aec8;w3rybkztfxsix3p00w3qgjzdafee20iu;Mejores condiciones laborales
35;8f02d1f16419f84d;qr9wzo31tniqp75gq2qr9su7ynqnkcu7;Respetar los derechos fundamentales de los trabajadores
36;1017c80f73d5e695;0k6qsasr9ry165m4a0k6qss41t90m29s;Aumento de sueldo
37;1081fee560f22d3b;rspkdzshbbonm6do961rspkdpocv9soo;mejorar sueldos y sobre todo beneficios
38;97b6d74401d9e557;upo59mf6z16ipreutdeupo59m3fy0lej;"Dar la oportunidad a los trabajadores antiguos de postular a puesto que signifiquen mejoras salariales . Y no acomodar a los amigos o apitutados.
Bono de reconocimiento por año servicio.
Que den becas de estudios a los trabajadores
Mejoras en la infraestructuras en cuanto a lo   básicos no hay baños suficientes no hay un lugar donde hacer una pausa dónde dejar las chaquetas o carteras con respecto al mobiliario es cero ergonómico.
En cuanto a la jefatura se puede decir que en algunos servicios hay muchos caciques y pocos indios.
Cómo es la clínica más grande de la región también los trabajadores deberían tener buenos  beneficio en atención en salud.
Deberían arreglar la clínica no solamente cambiándole el nombre a las torres de consulta y tapando con pintura un arreglo definitivo a los edificios sobretodo al de torre Pedro de Valdivia es horrible. baños asquerosos pasillos parchados ese edificio es un laberinto y las habitaciones son muy feas.demasiados accesos.
Casino para que hablar de la comida mucha gente trae la suya por lo poco atractiva por decirlo sutilmente que es la que sirven acá."
39;1110d5ade2379c78;8qpbtmxs73hcjxq3es98qpbthjmn2mds;Aumentar sueldo. Tener preocupación de la movilización de su personal. Ya que no todos tenemos vehículos personales. Y la alimentación muy mala calidad ya que son 12 horas de trabajo
40;9ad67ac973c2ad17;yz4p3vb09qtco0m2ty0xvszyz4p3vbzu;Aumentar los sueldos
41;1324d6e627cf1941;i3ezu1y678r11di3ekdl6bs0qhhj4d3c;mejorar los beneficios, sueldos, instalaciones, que se le de mas importancia a los funcionarios.
42;156955518b0694a1;faf06d56m3k5qgjn5ghvfaf06d562ufe;Salarios
43;aacb026ee3a7fa4d;ez00w11k4sexpuc9ez4moz54mhlax14z;nivelar sueldos, equilibrar funciones y que los trabajadores sean realmente valorados, de esta forma nos sentiremos orgullosos de trabajar en la clínica
44;614656b669082689;j30nq7we6ppmy6eosr9j30nq7sslihep;"Primero que todo, tener de coordinador a personas que se preocupen por el personal y sus necesidades laborales para que puedan tener las herramientas que se necesitan, contratar personas que cumplan con horarios y responsabilidades laborales
Mejorar los almuerzos y colaciones nocturnas"
45;acda21c8c3eab6d8;pe0o9u694z3uwfk6v1ifpe0o9u6prcjt;Mejorar sueldos, para que uno considere quedarse más tiempo, ser más empaticos con el personal, que realmente sean conscientes que trabajan con personas. perfeccionamiento de cursos de avanzado en el área donde uno se desempeña, no esos cursos de la mutual, que dejan bastante que desear. Mejorar infraestructura, materiales con los que uno trabaja, espacios.
46;bd80ddc2088daf63;zv6m7n0eddewje5w99szv6mi50tq4684;Subir los sueldos
47;18b76535c33f2e1f;3wuq687qdz1g804ek3wuqjp1hfuz01ej;Mejorar los sueldos para todos
48;62b91c52f546a886;2ywqeoa9lirbn7m8amyms2ywqeoikzen;Que las jefaturas se convirtieran en lideres de trabajo
49;193fcfb0d2aa0adc;tb25pzz2d2bqjv3hetb2520ye26xea7w;Mejorar colaciones para los que trabajan en turno
50;d2bf5b4c06284469;yzleuchf0t4g44yzlbbga2ycsc84uz9m;Se puede mejorar todo si hay voluntad, pero lo importante son las mejoras de algunos espacios.
51;d712328b708b5f84;ct38mvvj4jqt26s4ct38m3xztsx1yd5o;Escuchar al trabajador
52;e5f8bf49388f7340;gu5o11sbruo6dgu5oiedov0oqgqozp1i;Mejorar los almuerzos (debo traer almuerzo ya que son de pésima calidad). Preocuparse del traslado de funcionarios, sobre todo en las noches. Mejorar sistema de marcador de huella. Mejora en sueldos.
53;66c835cab893df75;dny9esotku06e47es34bdny9esndxo98;Mejorar los sueldos de los tens, hacemos mucho y pagan muy poco, para todo el trabajo que se tiene que realizar.
54;e86ca32d8dbd1dc7;0xdldcflxn49aeqwd00xdldcfpupwego;Preocupación de personal. Subir el sueldo. Dar atención psicológica.
55;683438e88c44f970;era92jr8l5y441qagcpera9h4wuy68lq;Regular y mejorar los sueldos de acuerdo al mercado. Actualmente personal nuevo ingresa con sueldos similares a los de funcionarios que llevan años en la institución. Eso genera falta de pertenencia hacia la clínica  porque se siente que no se valora la permanecia.
56;724390f675ca7e03;epxzsd8qvgwa9agikepxzs7f6len32wr;Lo más importante para los trabajadores es recibir un sueldo digno, por lo cual para mantener a sus trabajadores deberían, aumentar el sueldo igualandolo a aquellos lugares donde pagan mucho más.
57;79a5e1cda0d9438c;0unpc3b6qkygj316ewe0unpcvtnj0nlo;Que los altos jefes verifiquen cada area y consideren gente que hacen la pega y quien no , y vean quien realmente merece estar y responde con todo lo que se debe hacer y evaluen
58;e89348662abb8ae9;x4nm4fia1541fikevrmj9x4nmiyjdqgb;"Contratar gente competente y con ganas de querer cambiar las cosas y no tener a los mismos jefes como una especie de ""dinastía"""
59;03b7178912e73372;9xyeabdzhrfud483cjevu9xyeabnd7m0;Preocuparse de brindar mejores oficinas y muebles al personal, mejorar los sistemas informáticos.
60;04558006181a5f8b;6r4uq6vls609pd2g6r4uqlgs3huosyfp;.
61;04aacdadff2de4ad;zs6307guy86ri2msbzs6vv69omsxtpjq;Mejorar el sueldo y disminuir carga laboral agragando mas personal
62;05f45fd55077fe01;i5hu12yquokxeke3nqati5hu1z9dg9cr;contratar mas personal
63;06008bdaef52652d;5wj95udxt37hbrm538r5wj95y8257j4o;TRATARNOS COMO PERSONAS, CON EMPATIA, CALIDEZ.
64;1fa76b3ecaa2690b;tjdfkr5jmyse68extjdfkr45dvat7uh1;El sueldo
65;1fdc3344ba6aba79;ocrkb58h7sbe7kb8ocrky198xtfjiyfn;Aumentar los sueldos a los tens
66;07a90a5457a7c55f;1w3a36vhm2ppnaun01dvpa5v1w3a36ud;Dejar los sueldos nivelados a nivel de mercado
67;07f1ab0d412cd89c;4viwbyj1zaf0vtul54viedoxobibm6iw;Horarios no tan extensos y menos carga laboral
68;21d6044d26f8b262;vw29qkslcymhluuapwa6vw29wg9yiypu;Mejorar el trato hacia el personal. No hay estacionamientos seguros, cercanos en los turnos. Nos exigen mucho y no nos felicitan. Se nos mira feo cuando queremos pedir un dia o vacaciones, que es algo legal. Se nos presiona mucho con el tema de ingresos, pero a veces no damos a vasto con los pactes que ya tenemos hospitalizados
69;082f1f932b0b909f;7rs5qz28lsj7vfxem7rs5qz24kydrmbh;Comunicación en los grupos de trabajo
70;098ec3b4a9bdb8e1;zc18zv3x8t5n31mqhpc5zc18zv3izyyy;Siempre hay cosas por mejorar ....en el Dia a Dia se presentan actitudes de personas negativas que sólo trabajan por necesidad  y no por amor a lo que hacen ....eso me gustaria cambiar
71;80b974800d691983;ath6kae49j9vgbb0ru6yi6ath6kndipy;Cambiar la coordinadora de las Tens, por una persona más empatica
72;0a9bdb33468b13b9;ly96sl3966ag8yx55ly967i9hgbpkt03;.
73;0b7311aafe82a368;yqy2o6n5489yyqq209vtf7tebtfjuikb;Evitar los puestos de trabajo en forma jerarquica, es decir que ningun funcionario sea superior a otro por su lugar de trabajo
74;0bc75e93e907ee00;jxuepih2jh8zb0tf1qe27jxuepih27lk;Mejorar sueldos y un poco más de empatía con la carga laboral de cada piso
75;25dac052c85236a5;6iyktqy29hv6r6iykg2t10as7uphqs9q;Mejorar el sueldo, sobre todo segun CV. Desmotiva que pasen años y siga siendo igual
76;0d641e2f313491d7;l4xhevgxmo3mbi7l4xhev7jch2fst24f;Entregar cena a turno noche, variar opciones de alimentacion a pacientes.
77;27917a5981fc03af;01aq2ihm3f25sgaspm501aq2in5dqkix;Mejorar la calidad… no aumentar la cantidad
78;0d99795d182ccdc8;8jgvbxggo5gocd1vxh8jgvb0f3ah387l;Seguir dándolo todo y que nos sigan apoyando mucho más en nuestro trabajo y que sigan confiando en lo que hacemos a diario
79;28dda7724b52be97;xu3vpzcjciapnm56ksozcvixu3vpzcao;Reconocer el mérito, mejorar los sueldos
80;0fd7741f899589cf;k2h7oqzg110nnpn84jg97ns09sk2h7oq;:
81;110e324eda8b5ec0;k0sdnnf5w8xvkxe1hfbk0sdnnkvrt9ru;Mas Oportunidades para hacer cursos
82;89505b49362c0ba0;4sg6ns9ger8gkfps4sg6nwshy1yqxpsf;.
83;12a62977834e93d9;akg6ggpbsv2j0cn6aruzgiakg6ggpblo;Realizar mas cursos para el personal para que estén mas preparados de lo que están , mejorar los sueldos , cursos de relaciones personales que son muy buenos , como enfrentar reclamos para poder solucionarlos y el cliente se retire satisfecho por su atención
84;911b955f7a75c5c4;f8wvcjhd1ar5htweuf8wvc25adwalssn;Valorar la experiencia y los años de servicio mejorando la remuneración económica
85;2b58ad3493a368d5;imji0ftid9677imjb42z774i4lqfwvcr;Otorgar mas beneficios al personal y tratos mas cordiales
86;1586a5dffa3bf098;sb8vkl9x0a2s88vo0sb89hjkfntzsdu3;Creo que reforzar las áreas más débiles , generalmente en los puntos débiles que todavía existen.
87;9bb318482fcb4f10;grcsl4mh2n0wg4e8on2bgrcsf77mg3n2;tener jefatura mas empática con sus colaboradores, preocuparse por ellos y valorar mas el trabajo que hacemos
88;2cd65a235492baaa;shp6nr6dncmvmkikhgshp6nrsw4l6xrv;Los sueldos y beneficios para sus trabajadores
89;16342bb2b55655d7;qc08yer9zmpzzxkiuneqc08yxuhe9ojj;Hay áreas que tienen jefaturas deficientes en lo humano, es necesario hacer cambios
90;a6614b9b0856136d;63srots3nws1g0dl8y63srowjk8yct6k;tener un sistema operativo mas optimo , comprar un super servidor en informática  y que la jefatura apoye mas al personal , también algo muy relevante los  sueldos mejorarlos .
91;aac0f74ad85e8088;utvnk0td7f2nzqdofa6xutvnlih64px2;Cambio de coordinadoras y jefatura
92;2da2f73bd8e209c2;wjc6zsidq1lmm2cwwjcqt6rlfd3hp0qc;Reconocer nuestro trabajo
93;b017f5338b767f82;fr03jjf92yg2lkcc4hfr03ahpacez7kw;Subir los sueldos
94;2e48a8358e91a70b;oagowsqh4zn6n0eopykdoagows1h7gpb;Aumentar los sueldos a uno Justo con el mercado y otros centros hospitalarios
95;19c89bd4d179af34;8ouzthh1s8j48ouzja5a2ruwz1q074te;Netamente sueldo, ya que en general se espera de una clínica que pague más que el servicio público. En cambio acá se paga prácticamente la mitad menos que cualquier colega de hospital y tenemos mayor carga laboral porque hay menos gente y los insumos son de peor calidad y baja cantidad
96;1bd03a3401c9d8c8;fuz57zsah5yf56jakfuvl9sj2lsc2k2i;Que las jefaturas se preocupen más de las personas que tienen a su cargo, que gerencia este más presente, mejorar infraestructuras, mejor bienestar para los trabajadores y sus familias, etc
97;bb8db6b7f2bcb14b;95oebq112oj79kqmeam95oebq22capzq;Evitar las rotacion de personal y cambios de turno
98;1e1e2e819d3628f3;lhb7vhicrbcwwjw8rv4lhb7xi5cgd7dy;Creo que hay q mejorar muchas cosas. Ejemplo el almuerzo..
99;1eccb2117744acb2;7z7jf98wmjo9unb97z7j5w3zw7ebosxl;Mejorar el sueldo
100;c4fc7cfa1f6e778a;y7jc086bmrc8o3x2sy7jcsc7299qkgaj;Subir los sueldos
101;2ff1875854f8864d;9widljjl969bj60mqfm9widlxls8ygtk;Real preocupación por el recurso más importante en una empresa el recurso humano , trabajador contento y qye siente que se preocupan de él  empaticamente , da todo por su lugar de trabajo y equipo fn momentos decretal necesidad
102;c5f20d49be8e6c2b;ai8gcku4t47frsfvh1vzgai8gctj4ssp;Subir sueldos, dar reconocimiento a trabajadores, mejorar la utilidades o ganacias con sus trabajadores, el almuerzo es malisimo, y nos dan solo un comida en un turno de 12 horas
